unique countries,Score_2023,Score_2024,Score_2025,Score_2026,Score_2027,Score_2028
Nigeria,5.148127830687581,4.806762264369998,4.806762264369998,4.806762264369998,4.806762264369998,4.806762264369998
Azerbaijan,5.214976391304,5.194178898992436,5.214976391304,5.214976391304,5.214976391304,5.194178898992436
Jordan,6.609246723830883,3.8335918878752677,3.8335918878752677,3.8335918878752677,3.8335918878752677,3.8335918878752677
Montenegro,5.251769370154919,5.624738057986667,5.624738057986667,5.624738057986667,5.624738057986667,5.624738057986667
China,5.102718950227202,5.102718950227202,5.392469261812903,5.392469261812903,5.392469261812903,5.392469261812903
Zambia,3.050048607686955,5.899959814217916,5.899959814217916,5.899959814217916,5.899959814217916,5.899959814217916
Romania,5.340040769100166,6.758489098392397,6.758489098392397,6.758489098392397,6.758489098392397,6.758489098392397
Serbia,6.464171672603261,4.680467191061406,4.680467191061406,6.464171672603261,6.464171672603261,6.464171672603261
Portugal,5.107222592924336,6.0345358918990115,5.107222592924336,6.0345358918990115,6.0345358918990115,6.0345358918990115
Latvia,5.481540503302395,6.4292396916769805,6.4292396916769805,6.4292396916769805,6.4292396916769805,6.4292396916769805
Philippines,5.0384218835337125,6.174329058754507,6.174329058754507,6.174329058754507,5.0384218835337125,5.0384218835337125
Morocco,5.027424236277109,5.027424236277109,5.220279889431087,5.220279889431087,5.027424236277109,5.027424236277109
Macedonia,4.902718816453314,5.446510747930889,5.446510747930889,5.446510747930889,5.446510747930889,5.446510747930889
Albania,4.437097311444997,5.194616312844132,4.437097311444997,4.437097311444997,5.194616312844132,4.437097311444997
Bosnia and Herzegovina,4.639636173647562,6.018041402025395,6.018041402025395,6.018041402025395,6.018041402025395,6.018041402025395
Dominican Republic,6.023291841854778,6.023291841854778,4.776110803775645,6.023291841854778,6.023291841854778,4.776110803775645
Mongolia,6.0378466226452385,4.487103613737542,4.487103613737542,6.0378466226452385,6.0378466226452385,4.487103613737542
Greece,4.457786499178948,6.355183431251684,6.355183431251684,6.355183431251684,6.355183431251684,6.355183431251684
Hungary,4.8252790037425735,6.707334306128029,6.707334306128029,6.707334306128029,6.707334306128029,6.707334306128029
Honduras,6.267234379768617,6.267234379768617,6.267234379768617,5.151395707058397,6.267234379768617,6.267234379768617
Tajikistan,4.857198233749983,5.7570782795779705,5.7570782795779705,4.857198233749983,5.7570782795779705,4.857198233749983
Tunisia,4.993555717938196,4.226545559662888,4.226545559662888,4.993555717938196,4.993555717938196,4.226545559662888
Bangladesh,4.5051600978982735,4.837887674890187,4.837887674890187,4.837887674890187,4.837887674890187,4.5051600978982735
Iran,4.92805745509246,4.481836963779508,4.92805745509246,4.481836963779508,4.481836963779508,4.481836963779508
Iraq,4.538194061088982,4.715687835530516,4.715687835530516,4.715687835530516,4.538194061088982,4.715687835530516
South Africa,4.366900699549274,4.366900699549274,5.208323638012374,5.208323638012374,5.208323638012374,5.208323638012374
Ghana,4.478715004262916,5.068710667550816,5.068710667550816,5.068710667550816,5.068710667550816,5.068710667550816
Zimbabwe,3.0045657762021807,3.0045657762021807,4.501296315298348,3.0045657762021807,3.0045657762021807,4.501296315298348
Liberia,4.552744955478068,4.552744955478068,3.99818644969535,4.552744955478068,4.552744955478068,4.552744955478068
India,4.688710857955412,3.589793781114296,3.589793781114296,3.589793781114296,3.589793781114296,4.688710857955412
Nepal,5.588281993212484,4.362534164571489,5.588281993212484,5.588281993212484,5.588281993212484,4.362534164571489
Ethiopia,4.535752212941991,4.110770703038172,4.110770703038172,4.110770703038172,4.110770703038172,4.535752212941991
Sierra Leone,3.827725198601564,5.151412542294747,5.151412542294747,5.151412542294747,5.151412542294747,3.827725198601564
Mauritania,4.669578009904473,4.0040510736208414,4.669578009904473,4.0040510736208414,4.669578009904473,4.0040510736208414
Kenya,4.634640016676826,4.41993872947597,4.41993872947597,4.634640016676826,4.41993872947597,4.634640016676826
Armenia,4.985808593400365,4.985808593400365,4.985808593400365,4.985808593400365,4.003199304833224,4.003199304833224
Botswana,3.178231965129194,3.9412403275891403,3.178231965129194,3.9412403275891403,3.178231965129194,3.9412403275891403
Myanmar,4.160675426841758,4.604636137587486,4.604636137587486,4.160675426841758,4.160675426841758,4.160675426841758
Georgia,4.79294923787705,4.79294923787705,4.094004426215787,4.79294923787705,4.79294923787705,4.79294923787705
Malawi,3.1752067165052935,4.253481219598356,4.253481219598356,4.253481219598356,4.253481219598356,4.253481219598356
Cameroon,4.686174900328703,5.3551779152745285,5.3551779152745285,5.3551779152745285,5.3551779152745285,5.3551779152745285
Bulgaria,4.499591977154515,5.4941142939050955,5.4941142939050955,5.4941142939050955,5.4941142939050955,5.4941142939050955
Egypt,4.30700559280021,4.2642564221679775,4.2642564221679775,4.30700559280021,4.30700559280021,4.30700559280021
Yemen,3.7161823774061857,3.5371158856929794,3.5371158856929794,3.7161823774061857,3.7161823774061857,3.7161823774061857
Mali,4.098819148305103,4.76317215113899,4.76317215113899,4.76317215113899,4.76317215113899,4.76317215113899
Uganda,4.509007272442624,3.8657459106522167,3.8657459106522167,3.8657459106522167,4.509007272442624,4.509007272442624
Senegal,4.044490157589157,5.360005434883338,5.360005434883338,5.360005434883338,5.360005434883338,4.044490157589157
Gabon,5.285053481327025,4.3205509659027586,4.3205509659027586,4.3205509659027586,5.285053481327025,4.3205509659027586
Niger,3.7761999608143935,3.7761999608143935,5.1198771495924325,5.1198771495924325,5.1198771495924325,5.1198771495924325
Cambodia,5.209730461168982,3.950288360777166,3.950288360777166,3.950288360777166,5.209730461168982,3.950288360777166
Tanzania,3.720802618065899,3.3863621580335246,3.3863621580335246,3.720802618065899,3.720802618065899,3.720802618065899
Madagascar,3.4101878366582232,3.4101878366582232,3.4101878366582232,4.354468437029395,3.4101878366582232,3.4101878366582232
Chad,4.5868536535263775,3.986193539737425,3.986193539737425,3.986193539737425,3.986193539737425,3.986193539737425
Guinea,4.396468225799378,4.396468225799378,4.396468225799378,4.396468225799378,4.396468225799378,4.396468225799378
Burkina Faso,3.8740363617077525,5.239901487718687,3.8740363617077525,5.239901487718687,5.239901487718687,5.239901487718687
Rwanda,3.2614289645341703,3.5685532289522714,3.5685532289522714,3.5685532289522714,3.5685532289522714,3.5685532289522714
Benin,3.7357363131394825,5.140108497948221,5.140108497948221,5.140108497948221,5.140108497948221,3.7357363131394825
Togo,3.6672166152534684,4.45509973999981,4.45509973999981,4.45509973999981,3.6672166152534684,3.6672166152534684
Cyprus,5.639431062149272,6.009039901066067,5.639431062149272,6.009039901066067,6.009039901066067,6.009039901066067
Congo,4.038094431699209,4.038094431699209,5.03377601426992,4.038094431699209,5.03377601426992,5.03377601426992
Namibia,4.573968828427447,4.5739677466324755,4.5739677466324755,4.5739677466324755,4.5739677466324755,4.5739677466324755
